"","Year","age_mother","Inner","SUM_births","SUM_pop","Inner_factor","London_zone_ASFR","London_zone_ASFR_perK"
"236","1998","26",1,2096,29344,"Inner",0.0714285714285714,71.4285714285714
"237","1998","27",0,3656,36916,"Outer",0.0990356484992957,99.0356484992957
"238","1998","27",1,2214,30346,"Inner",0.072958544783497,72.958544783497
"239","1998","28",0,3933,37222,"Outer",0.10566331739294,105.66331739294
"240","1998","28",1,2525,29924,"Inner",0.0843804304237401,84.3804304237402
"241","1998","29",0,4384,38865,"Outer",0.112800720442558,112.800720442558
"242","1998","29",1,2649,30743,"Inner",0.0861659564778974,86.1659564778974
"243","1998","30",0,4543,39407,"Outer",0.115284086583602,115.284086583602
"244","1998","30",1,2958,31898,"Inner",0.0927330867139006,92.7330867139006
"245","1998","31",0,4587,40721,"Outer",0.112644581419906,112.644581419906
"246","1998","31",1,2908,31688,"Inner",0.0917697551123454,91.7697551123454
"247","1998","32",0,4281,41101,"Outer",0.104158049682489,104.158049682489
"248","1998","32",1,2880,31036,"Inner",0.0927954633329037,92.7954633329037
"249","1998","33",0,3866,41037,"Outer",0.0942076662524064,94.2076662524064
"250","1998","33",1,2700,30346,"Inner",0.0889738351018256,88.9738351018256
"251","1998","34",0,3500,40175,"Outer",0.0871188550093342,87.1188550093342
"252","1998","34",1,2440,29057,"Inner",0.0839728808892866,83.9728808892866
"253","1998","35",0,2936,38823,"Outer",0.0756252736779744,75.6252736779744
"254","1998","35",1,2096,27820,"Inner",0.0753414809489576,75.3414809489576
"255","1998","36",0,2362,37065,"Outer",0.0637258869553487,63.7258869553487
"256","1998","36",1,1675,25531,"Inner",0.0656065175668795,65.6065175668795
"257","1998","37",0,1770,35684,"Outer",0.0496020625490416,49.6020625490416
"258","1998","37",1,1387,24006,"Inner",0.0577772223610764,57.7772223610764
"259","1998","38",0,1312,33980,"Outer",0.0386109476162448,38.6109476162448
"260","1998","38",1,1057,22436,"Inner",0.0471117846318417,47.1117846318417
"261","1998","39",0,1050,33207,"Outer",0.0316198391905321,31.6198391905321
"262","1998","39",1,796,20706,"Inner",0.0384429633922535,38.4429633922535
"263","1998","42",0,1681,149379,"Outer",0.0112532551429585,11.2532551429585
"264","1998","42",1,1420,87766,"Inner",0.0161793860948431,16.1793860948431
"265","1999","17",0,2972,126820,"Outer",0.023434789465384,23.434789465384
"266","1999","17",1,2684,77048,"Inner",0.0348354272661198,34.8354272661198
"267","1999","20",0,1435,25838,"Outer",0.0555383543617927,55.5383543617927
"268","1999","20",1,1242,20696,"Inner",0.0600115964437572,60.0115964437572
"269","1999","21",0,1531,27899,"Outer",0.0548765188716441,54.8765188716441
"270","1999","21",1,1287,22771,"Inner",0.0565192569496289,56.5192569496289
"271","1999","22",0,1656,30052,"Outer",0.0551044855583655,55.1044855583655
"272","1999","22",1,1532,25751,"Inner",0.0594928352296998,59.4928352296998
"273","1999","23",0,1934,32220,"Outer",0.0600248292985723,60.0248292985723
"274","1999","23",1,1641,28742,"Inner",0.0570941479368172,57.0941479368172
"275","1999","24",0,2188,32960,"Outer",0.0663834951456311,66.3834951456311
"276","1999","24",1,1834,30105,"Inner",0.0609201129380502,60.9201129380502
"277","1999","25",0,2633,33948,"Outer",0.0775597973371038,77.5597973371038
"278","1999","25",1,1886,31063,"Inner",0.0607153204777388,60.7153204777388
"279","1999","26",0,3022,35962,"Outer",0.0840331460986597,84.0331460986597
"280","1999","26",1,2067,31942,"Inner",0.0647110387577484,64.7110387577484
"281","1999","27",0,3419,37507,"Outer",0.0911563174874024,91.1563174874024
"282","1999","27",1,2244,32612,"Inner",0.068809027351895,68.809027351895
"283","1999","28",0,3785,38373,"Outer",0.0986370625179162,98.6370625179162
"284","1999","28",1,2472,32687,"Inner",0.0756263958148499,75.6263958148499
"285","1999","29",0,4118,38531,"Outer",0.106874983779295,106.874983779295
