"","Month","New_date","Region","Price","New_region","Final_date","highlight_flag","Region_factor","label"
"232","Feb-17","01/02/2017","London",1705,"London",2017-02-01,TRUE,"London",NA
"233","Feb-17","01/02/2017","South.East",1010,"South East",2017-02-01,TRUE,"South East",NA
"234","Feb-17","01/02/2017","South.West",838,"South West",2017-02-01,FALSE,"South West",NA
"235","Mar-17","01/03/2017","North.East",551,"North East",2017-03-01,FALSE,"North East",NA
"236","Mar-17","01/03/2017","North.West",618,"North West",2017-03-01,FALSE,"North West",NA
"237","Mar-17","01/03/2017","Yorkshire.and.the.Humber",601,"Yorkshire and the Humber",2017-03-01,FALSE,"Yorkshire and the Humber",NA
"238","Mar-17","01/03/2017","East.Midlands",597,"East Midlands",2017-03-01,FALSE,"East Midlands",NA
"239","Mar-17","01/03/2017","West.Midlands",652,"West Midlands",2017-03-01,FALSE,"West Midlands",NA
"240","Mar-17","01/03/2017","East",892,"East",2017-03-01,TRUE,"East",NA
"241","Mar-17","01/03/2017","London",1702,"London",2017-03-01,TRUE,"London",NA
"242","Mar-17","01/03/2017","South.East",1012,"South East",2017-03-01,TRUE,"South East",NA
"243","Mar-17","01/03/2017","South.West",840,"South West",2017-03-01,FALSE,"South West",NA
"244","Apr-17","01/04/2017","North.East",551,"North East",2017-04-01,FALSE,"North East",NA
"245","Apr-17","01/04/2017","North.West",620,"North West",2017-04-01,FALSE,"North West",NA
"246","Apr-17","01/04/2017","Yorkshire.and.the.Humber",605,"Yorkshire and the Humber",2017-04-01,FALSE,"Yorkshire and the Humber",NA
"247","Apr-17","01/04/2017","East.Midlands",600,"East Midlands",2017-04-01,FALSE,"East Midlands",NA
"248","Apr-17","01/04/2017","West.Midlands",654,"West Midlands",2017-04-01,FALSE,"West Midlands",NA
"249","Apr-17","01/04/2017","East",894,"East",2017-04-01,TRUE,"East",NA
"250","Apr-17","01/04/2017","London",1706,"London",2017-04-01,TRUE,"London",NA
"251","Apr-17","01/04/2017","South.East",1015,"South East",2017-04-01,TRUE,"South East",NA
"252","Apr-17","01/04/2017","South.West",841,"South West",2017-04-01,FALSE,"South West",NA
"253","May-17","01/05/2017","North.East",551,"North East",2017-05-01,FALSE,"North East",NA
"254","May-17","01/05/2017","North.West",621,"North West",2017-05-01,FALSE,"North West",NA
"255","May-17","01/05/2017","Yorkshire.and.the.Humber",605,"Yorkshire and the Humber",2017-05-01,FALSE,"Yorkshire and the Humber",NA
"256","May-17","01/05/2017","East.Midlands",601,"East Midlands",2017-05-01,FALSE,"East Midlands",NA
"257","May-17","01/05/2017","West.Midlands",655,"West Midlands",2017-05-01,FALSE,"West Midlands",NA
